CITI | USD/EUR | 1.5553 | 1.5563 | 1.5554 | 1.5562 | 1.5555 | 1.5561 | 1756299375886087575
JPMC | USD/EUR | 1.5554 | 1.5565 | 1.5555 | 1.5564 | 1.5556 | 1.5563 | 1756299376780126081
BARX | USD/EUR | 1.5554 | 1.5564 | 1.5555 | 1.5563 | 1.5554 | 1.5564 | 1756299377004966151
UBS | USD/EUR | 1.5553 | 1.5564 | 1.5554 | 1.5563 | 1.5555 | 1.5562 | 1756299377197900310
MS | USD/EUR | 1.5555 | 1.5566 | 1.5556 | 1.5565 | 1.5557 | 1.5564 | 1756299377269974113
JPMC | USD/EUR | 1.5554 | 1.5565 | 1.5555 | 1.5564 | 1.5556 | 1.5563 | 1756299377842704823
BARX | USD/EUR | 1.5556 | 1.5566 | 1.5557 | 1.5565 | 1.5556 | 1.5566 | 1756299378034366377
UBS | USD/EUR | 1.5554 | 1.5565 | 1.5555 | 1.5564 | 1.5556 | 1.5563 | 1756299378208193562
CITI | USD/EUR | 1.5554 | 1.5564 | 1.5555 | 1.5563 | 1.5556 | 1.5562 | 1756299380237599612
BARX | USD/EUR | 1.5558 | 1.5568 | 1.5559 | 1.5567 | 1.5558 | 1.5568 | 1756299381226357355
MS | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299381410642586
JPMC | USD/EUR | 1.5555 | 1.5566 | 1.5556 | 1.5565 | 1.5557 | 1.5564 | 1756299381584056946
CITI | USD/EUR | 1.5554 | 1.5564 | 1.5555 | 1.5563 | 1.5556 | 1.5562 | 1756299381736379828
UBS | USD/EUR | 1.5554 | 1.5565 | 1.5555 | 1.5564 | 1.5556 | 1.5563 | 1756299382005409401
UBS | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299383216974063
CITI | USD/EUR | 1.5554 | 1.5564 | 1.5555 | 1.5563 | 1.5556 | 1.5562 | 1756299383580598025
BARX | USD/EUR | 1.556 | 1.557 | 1.5561 | 1.5569 | 1.556 | 1.557 | 1756299385069115992
CITI | USD/EUR | 1.5556 | 1.5566 | 1.5557 | 1.5565 | 1.5558 | 1.5564 | 1756299385115412204
JPMC | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299385510664947
UBS | USD/EUR | 1.5558 | 1.5569 | 1.5559 | 1.5568 | 1.556 | 1.5567 | 1756299386031562931
MS | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299386179952844
UBS | USD/EUR | 1.556 | 1.5571 | 1.5561 | 1.557 | 1.5562 | 1.5569 | 1756299387683511093
MS | USD/EUR | 1.5557 | 1.5568 | 1.5558 | 1.5567 | 1.5559 | 1.5566 | 1756299388245867571
CITI | USD/EUR | 1.5556 | 1.5566 | 1.5557 | 1.5565 | 1.5558 | 1.5564 | 1756299388743318206
BARX | USD/EUR | 1.5561 | 1.5571 | 1.5562 | 1.557 | 1.5561 | 1.5571 | 1756299389200822230
MS | USD/EUR | 1.5559 | 1.557 | 1.556 | 1.5569 | 1.5561 | 1.5568 | 1756299389727252047
JPMC | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299389976638562
CITI | USD/EUR | 1.5556 | 1.5566 | 1.5557 | 1.5565 | 1.5558 | 1.5564 | 1756299391038973683
UBS | USD/EUR | 1.5562 | 1.5573 | 1.5563 | 1.5572 | 1.5564 | 1.5571 | 1756299391788852613
JPMC | USD/EUR | 1.5556 | 1.5567 | 1.5557 | 1.5566 | 1.5558 | 1.5565 | 1756299391824188724
MS | USD/EUR | 1.5559 | 1.557 | 1.556 | 1.5569 | 1.5561 | 1.5568 | 1756299393456386709
CITI | USD/EUR | 1.5556 | 1.5566 | 1.5557 | 1.5565 | 1.5558 | 1.5564 | 1756299393661139380
